ReviewId,SentenceId,Sentence,TargetWordList,OpinionCategoryList,OpinionSubcategoryList,OpinionPolarityList
en_BlueRibbonSushi_478218171,en_BlueRibbonSushi_478218171:0,Yum!,['NULL'],['FOOD'],['QUALITY'],['positive']
en_BlueRibbonSushi_478218171,en_BlueRibbonSushi_478218171:1,Serves really good sushi.,['sushi'],['FOOD'],['QUALITY'],['positive']
en_BlueRibbonSushi_478218171,en_BlueRibbonSushi_478218171:2,Not the biggest portions but adequate.,['portions'],['FOOD'],['STYLE_OPTIONS'],['neutral']
en_BlueRibbonSushi_478218171,en_BlueRibbonSushi_478218171:3,Green Tea creme brulee is a must!,['Green Tea creme brulee'],['FOOD'],['QUALITY'],['positive']
en_BlueRibbonSushi_478218171,en_BlueRibbonSushi_478218171:4,Don't leave the restaurant without it.,['NULL'],['FOOD'],['QUALITY'],['positive']
en_BlueRibbonSushi_478218345,en_BlueRibbonSushi_478218345:0,No Comparison,['NULL'],['RESTAURANT'],['GENERAL'],['positive']
en_BlueRibbonSushi_478218345,en_BlueRibbonSushi_478218345:1,– I can't say enough about this place.,['place'],['RESTAURANT'],['GENERAL'],['positive']
en_BlueRibbonSushi_478218345,en_BlueRibbonSushi_478218345:2,It has great sushi and even better service.,"['sushi', 'service']","['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['positive', 'positive']"
en_BlueRibbonSushi_478218345,en_BlueRibbonSushi_478218345:3,The entire staff was extremely accomodating and tended to my every need.,['staff'],['SERVICE'],['GENERAL'],['positive']
en_BlueRibbonSushi_478218345,en_BlueRibbonSushi_478218345:4,I've been to this restaurant over a dozen times with no complaints to date.,['restaurant'],['RESTAURANT'],['GENERAL'],['positive']
en_SchoonerOrLater_477965690,en_SchoonerOrLater_477965690:0,Snotty Attitude,['NULL'],['SERVICE'],['GENERAL'],['negative']
en_SchoonerOrLater_477965690,en_SchoonerOrLater_477965690:1,– We were treated very rudely here one time for breakfast.,['NULL'],['SERVICE'],['GENERAL'],['negative']
en_SchoonerOrLater_477965690,en_SchoonerOrLater_477965690:2,The owner is belligerent to guests that have a complaint.,['owner'],['SERVICE'],['GENERAL'],['negative']
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:0,Good food!,['food'],['FOOD'],['QUALITY'],['positive']
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:1,– We love breakfast food.,[],[],[],[]
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:2,This is a great place to get a delicious meal.,['meal'],['FOOD'],['QUALITY'],['positive']
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:3,We never had to wait more than 5 minutes.,['NULL'],['SERVICE'],['GENERAL'],['positive']
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:4,The staff is pretty friendly.,['staff'],['SERVICE'],['GENERAL'],['positive']
en_SchoonerOrLater_477965849,en_SchoonerOrLater_477965849:5,The onion rings are great!,['onion rings'],['FOOD'],['QUALITY'],['positive']
