ReviewId,SentenceId,Sentence,OpinionCategoryList,OpinionSubcategoryList,OpinionPolarityList
79,79:0,Being a PC user my whole life....,[],[],[]
79,79:1,This computer is absolutely AMAZING!!!,['LAPTOP'],['GENERAL'],['positive']
79,79:2,10 plus hours of battery...,['BATTERY'],['OPERATION_PERFORMANCE'],['positive']
79,79:3,super fast processor and really nice graphics card..,"['CPU', 'GRAPHICS']","['OPERATION_PERFORMANCE', 'GENERAL']","['positive', 'positive']"
79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),['HARD_DISC'],['DESIGN_FEATURES'],['positive']
79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'USABILITY']","['positive', 'positive']"
79,79:6,I've only had mine a day but I'm already used to it...,['LAPTOP'],['USABILITY'],['positive']
79,79:7,MACS ARE AMAZING!!!,[],[],[]
79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"['LAPTOP', 'CPU']","['PORTABILITY', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,"['LAPTOP', 'LAPTOP']","['GENERAL', 'OPERATION_PERFORMANCE']","['positive', 'positive']"
10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,['LAPTOP'],['GENERAL'],['positive']
10,10:2,and its really cheap and you wont regret buying it.,"['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['positive', 'positive']"
264,264:0,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",[],[],[]
264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","['LAPTOP', 'LAPTOP', 'LAPTOP']","['PORTABILITY', 'QUALITY', 'USABILITY']","['positive', 'positive', 'positive']"
264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","['LAPTOP', 'LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'PORTABILITY', 'MISCELLANEOUS']","['positive', 'positive', 'positive']"
264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,"['LAPTOP', 'LAPTOP']","['MISCELLANEOUS', 'QUALITY']","['positive', 'positive']"
264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",['OS'],['DESIGN_FEATURES'],['positive']
24,24:0,Oh my goodness-I am not a happy camper.,['LAPTOP'],['GENERAL'],['negative']
24,24:1,My HP is very heavy.,['LAPTOP'],['DESIGN_FEATURES'],['negative']
24,24:2,Not easy to carry.,['LAPTOP'],['PORTABILITY'],['negative']
24,24:3,The battery has never worked well.,"['BATTERY', 'BATTERY']","['QUALITY', 'OPERATION_PERFORMANCE']","['negative', 'negative']"
24,24:4,The battery gets so HOT it is scary.,['BATTERY'],['QUALITY'],['negative']
24,24:5,"Yet, HP won't do anything about the problem.",['SUPPORT'],['QUALITY'],['negative']
24,24:6,I returned the computer to HP and they kept it for 3 months.,['SUPPORT'],['QUALITY'],['negative']
24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,['SUPPORT'],['QUALITY'],['negative']
24,24:8,"So, you can imagine how unhappy I am with this item.",['LAPTOP'],['GENERAL'],['negative']
