ReviewId,SentenceId,Sentence,TargetWordList,OpinionCategoryList,OpinionSubcategoryList,OpinionPolarityList
1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",['place'],['RESTAURANT'],['GENERAL'],['negative']
1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",['staff'],['SERVICE'],['GENERAL'],['negative']
1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",['NULL'],['SERVICE'],['GENERAL'],['negative']
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"['food', 'portions']","['FOOD', 'FOOD']","['QUALITY', 'STYLE_OPTIONS']","['negative', 'negative']"
1004293,1004293:4,"After all that, they complained to me about the small tip.",['NULL'],['SERVICE'],['GENERAL'],['negative']
1004293,1004293:5,Avoid this place!,['place'],['RESTAURANT'],['GENERAL'],['negative']
1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",['food'],['FOOD'],['QUALITY'],['positive']
1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,['Saul'],['RESTAURANT'],['GENERAL'],['positive']
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"['foie gras terrine with figs', 'duck confit']","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['positive', 'positive']"
1014458,1014458:3,The wine list is interesting and has many good values.,"['wine list', 'wine list']","['DRINKS', 'DRINKS']","['STYLE_OPTIONS', 'PRICES']","['positive', 'positive']"
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.","['NULL', 'NULL']","['RESTAURANT', 'FOOD']","['PRICES', 'QUALITY']","['positive', 'positive']"
1016296,1016296:0,I was very disappointed with this restaurant.,['restaurant'],['RESTAURANT'],['GENERAL'],['negative']
1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,['cart attendant'],['SERVICE'],['GENERAL'],['negative']
1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,['NULL'],['SERVICE'],['GENERAL'],['negative']
1016296,1016296:3,"Food was okay, nothing great.",['Food'],['FOOD'],['QUALITY'],['neutral']
1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"['Chow fun', 'pork shu mai', 'NULL']","['FOOD', 'FOOD', 'RESTAURANT']","['QUALITY', 'QUALITY', 'MISCELLANEOUS']","['negative', 'negative', 'negative']"
1016296,1016296:5,I/we will never go back to this place again.,['place'],['RESTAURANT'],['GENERAL'],['negative']
1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",['Fish'],['RESTAURANT'],['GENERAL'],['positive']
1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","['Service', 'oysters', 'NULL']","['SERVICE', 'FOOD', 'RESTAURANT']","['GENERAL', 'QUALITY', 'PRICES']","['positive', 'positive', 'positive']"
1028246,1028246:2,You can't go wrong here.,['NULL'],['RESTAURANT'],['GENERAL'],['positive']
1032695,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,['Restaurant Saul'],['RESTAURANT'],['GENERAL'],['positive']
1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","['NULL', 'service', 'decor']","['FOOD', 'SERVICE', 'AMBIENCE']","['QUALITY', 'GENERAL', 'GENERAL']","['positive', 'positive', 'positive']"
1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,['duck breast special'],['FOOD'],['QUALITY'],['positive']
1032695,1032695:3,Can't wait wait for my next visit.,['NULL'],['RESTAURANT'],['GENERAL'],['positive']
1041457,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",[],[],[],[]
